房源编号,所在城市,所在区县,所在街道或地区,小区名称,面积,租赁方式,朝向,月租,计费方式,室,厅,卫,入住,租期,看房,所在楼层,总楼层,电梯,车位,用水,用电,燃气,采暖
TJ2376700423471112192,天津,河东,向阳楼,向阳楼,33㎡,整租,南,1000元/月,季付价,1室,1厅,0卫,随时入住,3年以内,需提前预约,低楼层,6层,无,暂无数据,民水,民电,有,集中供暖
TJ2551210017785659392,天津,河北,新开河,山海花园,8㎡,合租,西南,610元/月,季付价,4室,1厅,1卫,随时入住,6~12个月,随时可看,6,6层,无,暂无数据,民水,民电,有,集中供暖
TJ2362190442021257216,天津,河西,挂甲寺,景兴西里,36㎡,整租,南,1500元/月,季付价,1室,1厅,1卫,随时入住,暂无数据,需提前预约,中楼层,8层,无,免费使用,民水,民电,有,集中供暖
TJ2562421067402715136,天津,西青,张家窝,津洲花园,18㎡,合租,南,998元/月,月付价,2室,1厅,1卫,随时入住,2~12个月,随时可看,10,30层,有,免费使用,民水,民电,有,集中供暖
TJ2562391793711202304,天津,西青,中北镇,碧水家园A区,16㎡,合租,东南,848元/月,月付价,3室,1厅,1卫,随时入住,1年,随时可看,2,6层,无,免费使用,民水,民电,有,集中供暖
TJ2562766886568214528,天津,西青,张家窝,王顶堤馨苑,18㎡,合租,西,998元/月,月付价,4室,1厅,1卫,随时入住,1个月,随时可看,26,30层,有,免费使用,民水,民电,有,集中供暖
TJ2557967147636891648,天津,河西,小海地,桂江里(河西区),59㎡,整租,东,1500元/月,季付价,2室,1厅,1卫,随时入住,1年以内,需提前预约,高楼层,7层,无,暂无数据,民水,民电,有,集中供暖
TJ2562784984771600384,天津,西青,中北镇,碧水家园A区,18㎡,合租,南,848元/月,月付价,3室,1厅,1卫,随时入住,1年,随时可看,3,6层,无,免费使用,民水,民电,有,集中供暖
TJ2557978250429612032,天津,南开,王顶堤,林苑北里,30㎡,合租,南/北,700元/月,季付价,1室,1厅,1卫,随时入住,1年以内,需提前预约,高楼层,8层,无,免费使用,民水,民电,有,集中供暖
TJ2560015240348057600,天津,河东,向阳楼,向阳花园,12㎡,合租,南,700元/月,月付价,4室,1厅,1卫,随时入住,1~12个月,随时可看,5,6层,无,免费使用,民水,民电,有,集中供暖
TJ2558466315262099456,天津,南开,万兴街,平湖西里,15㎡,合租,南,1200元/月,季付价,2室,1厅,0卫,随时入住,1年以内,需提前预约,中楼层,5层,无,免费使用,民水,民电,有,集中供暖
TJ2270877271118323712,天津,河西,挂甲寺,龙都花园南园,11㎡,合租,东,1590元/月,季付价,3室,1厅,1卫,随时入住,1年,随时可看,4,6层,无,暂无数据,民水,民电,有,集中供暖
TJ2558453340912754688,天津,河西,小海地,华江里,38㎡,整租,南,1550元/月,季付价,1室,1厅,1卫,随时入住,1年以内,需提前预约,中楼层,6层,无,暂无数据,民水,民电,有,集中供暖
TJ2558613290418700288,天津,河北,光复道,秋星里,50㎡,整租,南,1500元/月,季付价,1室,1厅,1卫,随时入住,1年以内,需提前预约,中楼层,7层,无,暂无数据,民水,民电,有,集中供暖
TJ2519370863686721536,天津,和平,新兴街,四达里,25㎡,整租,南,1500元/月,季付价,1室,1厅,1卫,随时入住,2年以内,需提前预约,低楼层,6层,无,免费使用,暂无数据,暂无数据,有,集中供暖
TJ2518875422348296192,天津,河北,望海楼,昆云里,28㎡,整租,南,1200元/月,None,1室,1厅,1卫,随时入住,1年以内,需提前预约,高楼层,7层,无,暂无数据,民水,民电,有,集中供暖
TJ2520241975991738368,天津,河西,小海地,双山新苑,75㎡,整租,南/北,1300元/月,季付价,2室,1厅,1卫,随时入住,1年以内,一般下班后可看,高楼层,6层,无,暂无数据,民水,民电,有,集中供暖
TJ2542700243288866816,天津,南开,鼓楼街,艺术公寓,15㎡,合租,南,998元/月,月付价,3室,1厅,1卫,随时入住,2~12个月,随时可看,2,32层,有,租用车位,民水,民电,有,集中供暖
TJ2520801118767300608,天津,河东,万新村,松风东里,26㎡,整租,南,1200元/月,季付价,1室,1厅,1卫,随时入住,1年以内,需提前预约,中楼层,6层,无,免费使用,民水,民电,有,集中供暖
TJ2408620804729749504,天津,河北,宁园,舒园里,12㎡,合租,南,780元/月,季付价,4室,1厅,1卫,2020-07-28,6~12个月,随时可看,7,7层,无,租用车位,民水,民电,有,集中供暖
TJ2525176455965982720,天津,津南,新梅江,惠众家园,62㎡,整租,南,900元/月,季付价,1室,1厅,1卫,随时入住,1年以内,需提前预约,高楼层,30层,有,暂无数据,暂无数据,暂无数据,有,集中供暖
TJ2524571985145765888,天津,河西,友谊路,文苑楼,25㎡,整租,南,1300元/月,季付价,1室,1厅,0卫,随时入住,1年以内,需提前预约,中楼层,5层,无,暂无数据,民水,民电,有,集中供暖
TJ2528041017144786944,天津,河东,富民路,天琴里,28㎡,整租,北,1000元/月,季付价,1室,1厅,1卫,随时入住,2年以内,需提前预约,低楼层,6层,无,暂无数据,民水,民电,有,集中供暖
TJ2528867247015854080,天津,红桥,邵公庄,建设里,40㎡,整租,南,1100元/月,季付价,1室,1厅,1卫,随时入住,1年以内,需提前预约,中楼层,7层,无,暂无数据,民水,民电,有,集中供暖
TJ2528950662159671296,天津,河西,天塔街,天资里,27㎡,整租,南,1000元/月,季付价,1室,1厅,1卫,随时入住,1年以内,需提前预约,高楼层,6层,无,暂无数据,民水,民电,有,集中供暖
TJ2529691670594207744,天津,开发区,第三大街,恂园里,51㎡,整租,南/北,1600元/月,None,1室,1厅,1卫,随时入住,1年以内,需提前预约,高楼层,6层,无,暂无数据,民水,民电,有,集中供暖
TJ2530957770808115200,天津,红桥,丁字沽街,新村十段小区,28㎡,整租,南,1100元/月,None,2室,1厅,0卫,随时入住,2年以内,需提前预约,中楼层,4层,无,暂无数据,暂无数据,暂无数据,有,集中供暖
TJ2562217237398429696,天津,南开,万兴街,兴业家园,12㎡,合租,西,1152元/月,月付价,2室,1厅,1卫,随时入住,3~12个月,随时可看,3,26层,有,暂无数据,民水,民电,有,暂无数据
TJ2531194589776183296,天津,河西,柳林街,宽福里,42㎡,整租,南,1500元/月,None,1室,1厅,1卫,随时入住,暂无数据,需提前预约,高楼层,6层,无,暂无数据,民水,民电,有,集中供暖
TJ2562266433405337600,天津,河西,陈塘庄,中海寰宇天下,15㎡,合租,东南,1298元/月,月付价,3室,1厅,1卫,随时入住,3~12个月,随时可看,7,11层,有,租用车位,民水,民电,有,集中供暖
TJ2531851272055955456,天津,河西,小海地,珠江里(河西区),53㎡,整租,东,1600元/月,季付价,2室,1厅,1卫,随时入住,2年以内,需提前预约,高楼层,6层,无,免费使用,民水,民电,有,集中供暖
TJ2562927227939594240,天津,和平,南市,同方花园,18㎡,合租,南,1298元/月,月付价,3室,1厅,1卫,随时入住,1年,随时可看,20,26层,有,免费使用,民水,民电,有,集中供暖
TJ2531216033138876416,天津,河西,柳林街,锦福里,48㎡,整租,南,1500元/月,季付价,1室,1厅,1卫,随时入住,2年以内,需提前预约,高楼层,6层,无,免费使用,民水,民电,有,集中供暖
TJ2562267324049014784,天津,河西,陈塘庄,中海寰宇天下,15㎡,合租,东南,1098元/月,月付价,3室,1厅,1卫,随时入住,3~12个月,随时可看,26,29层,有,租用车位,民水,民电,有,集中供暖
TJ2562378718739963904,天津,河西,陈塘庄,复兴门家园,14㎡,合租,南,1198元/月,月付价,3室,1厅,1卫,随时入住,1~12个月,随时可看,10,18层,有,免费使用,民水,民电,有,集中供暖
TJ2562284491494129664,天津,河西,陈塘庄,中海复兴九里,14㎡,合租,东南,1098元/月,月付价,3室,1厅,1卫,随时入住,1~12个月,随时可看,8,24层,有,免费使用,民水,民电,有,集中供暖
TJ2526780407350312960,天津,塘沽,新村街,丹东里,40㎡,整租,南/北,800元/月,None,1室,1厅,1卫,随时入住,暂无数据,需提前预约,高楼层,6层,无,暂无数据,民水,民电,有,集中供暖
TJ2562407087426772992,天津,河西,陈塘庄,复兴门家园,18㎡,合租,东南,848元/月,月付价,3室,1厅,1卫,随时入住,1年,随时可看,17,18层,有,免费使用,民水,民电,有,集中供暖
TJ2528215211698569216,天津,河西,柳林街,锦福里,46㎡,整租,南,1500元/月,季付价,1室,1厅,1卫,随时入住,2年以内,需提前预约,高楼层,6层,无,免费使用,民水,民电,有,集中供暖
TJ2562759616153001984,天津,河西,陈塘庄,复兴门家园,15㎡,合租,西,1098元/月,月付价,3室,1厅,1卫,随时入住,1个月,随时可看,2,18层,有,免费使用,民水,民电,有,集中供暖
TJ2528950662159671296,天津,河西,天塔街,天资里,27㎡,整租,南,1000元/月,季付价,1室,1厅,1卫,随时入住,1年以内,需提前预约,高楼层,6层,无,暂无数据,民水,民电,有,集中供暖
TJ2562403713008812032,天津,河西,陈塘庄,复兴门家园,18㎡,合租,南,848元/月,月付价,3室,1厅,1卫,随时入住,1年,随时可看,16,18层,有,免费使用,民水,民电,有,集中供暖
TJ2530311703229366272,天津,河西,下瓦房,西楼北里,40㎡,整租,西,1300元/月,None,1室,1厅,0卫,随时入住,暂无数据,需提前预约,高楼层,8层,无,暂无数据,民水,民电,有,集中供暖
TJ2530185140198981632,天津,河东,中山门街,光明楼(河东区),36㎡,整租,南,1100元/月,None,1室,1厅,1卫,随时入住,暂无数据,需提前预约,高楼层,6层,无,暂无数据,民水,民电,有,集中供暖
TJ2530957770808115200,天津,红桥,丁字沽街,新村十段小区,28㎡,整租,南,1100元/月,None,2室,1厅,0卫,随时入住,2年以内,需提前预约,中楼层,4层,无,暂无数据,暂无数据,暂无数据,有,集中供暖
TJ2531194589776183296,天津,河西,柳林街,宽福里,42㎡,整租,南,1500元/月,None,1室,1厅,1卫,随时入住,暂无数据,需提前预约,高楼层,6层,无,暂无数据,民水,民电,有,集中供暖
TJ2531162448631963648,天津,河东,中山门街,中山门东里,40㎡,整租,南,1200元/月,None,1室,1厅,1卫,随时入住,1年以内,需提前预约,高楼层,7层,无,暂无数据,民水,民电,有,集中供暖
TJ2562927227939594240,天津,和平,南市,同方花园,18㎡,合租,南,1298元/月,月付价,3室,1厅,1卫,随时入住,1年,随时可看,20,26层,有,免费使用,民水,民电,有,集中供暖
TJ2531851272055955456,天津,河西,小海地,珠江里(河西区),53㎡,整租,东,1600元/月,季付价,2室,1厅,1卫,随时入住,2年以内,需提前预约,高楼层,6层,无,免费使用,民水,民电,有,集中供暖
TJ2562217237398429696,天津,南开,万兴街,兴业家园,12㎡,合租,西,1152元/月,月付价,2室,1厅,1卫,随时入住,3~12个月,随时可看,3,26层,有,暂无数据,民水,民电,有,暂无数据
TJ2531216033138876416,天津,河西,柳林街,锦福里,48㎡,整租,南,1500元/月,季付价,1室,1厅,1卫,随时入住,2年以内,需提前预约,高楼层,6层,无,免费使用,民水,民电,有,集中供暖
TJ2533120128825442304,天津,河东,二号桥街,龙峰嘉园,60㎡,整租,南/北,1000元/月,季付价,1室,1厅,1卫,随时入住,3年以内,需提前预约,高楼层,32层,无,暂无数据,暂无数据,暂无数据,有,集中供暖
TJ2511375193847365632,天津,塘沽,杭州道,美景园,73㎡,整租,南,1350元/月,季付价,2室,1厅,1卫,随时入住,1年以内,需提前预约,高楼层,6层,无,暂无数据,民水,民电,有,集中供暖
TJ2511399918061756416,天津,和平,体育馆街,诚基经贸中心,59㎡,整租,北,2100元/月,None,1室,1厅,1卫,随时入住,暂无数据,需提前预约,低楼层,50层,有,暂无数据,民水,民电,有,集中供暖
TJ2512938546189574144,天津,河西,挂甲寺,景兴西里,36㎡,整租,西,1500元/月,季付价,1室,1厅,1卫,随时入住,3年以上,需提前预约,高楼层,8层,无,免费使用,民水,民电,有,集中供暖
TJ2512861978255425536,天津,塘沽,新村街,崇安里,40㎡,整租,南,1200元/月,季付价,1室,1厅,1卫,随时入住,1年以内,需提前预约,高楼层,6层,无,暂无数据,民水,民电,有,集中供暖
TJ2512863667453181952,天津,河西,越秀路,健强里,36㎡,整租,南,1500元/月,季付价,2室,0厅,0卫,随时入住,1年以内,需提前预约,中楼层,5层,无,暂无数据,民水,民电,有,集中供暖
TJ2562266433405337600,天津,河西,陈塘庄,中海寰宇天下,15㎡,合租,东南,1298元/月,月付价,3室,1厅,1卫,随时入住,3~12个月,随时可看,7,11层,有,租用车位,民水,民电,有,集中供暖
TJ2513114478276001792,天津,南开,长虹街,建华里,14㎡,整租,南,1000元/月,季付价,1室,1厅,1卫,随时入住,1年以内,需提前预约,中楼层,4层,有,暂无数据,暂无数据,暂无数据,暂无数据,集中供暖
TJ2562378718739963904,天津,河西,陈塘庄,复兴门家园,14㎡,合租,南,1198元/月,月付价,3室,1厅,1卫,随时入住,1~12个月,随时可看,10,18层,有,免费使用,民水,民电,有,集中供暖
TJ2514428024338776064,天津,塘沽,向阳街,三星里,47㎡,整租,东,1350元/月,季付价,1室,1厅,1卫,随时入住,1年以内,需提前预约,高楼层,7层,无,免费使用,民水,民电,有,集中供暖
TJ2562373381412626432,天津,南开,体育中心街,时代奥城,20㎡,合租,南,1198元/月,月付价,2室,1厅,1卫,随时入住,1年,随时可看,11,24层,有,免费使用,民水,民电,有,集中供暖
TJ2533842117248425984,天津,河西,新梅江,新梅江锦秀里,91㎡,整租,南,1500元/月,季付价,2室,1厅,1卫,随时入住,1年以内,需提前预约,低楼层,22层,有,暂无数据,民水,民电,有,集中供暖
TJ2563707858872958976,天津,河东,向阳楼,红顶花园北园,15㎡,合租,南,950元/月,月付价,5室,1厅,1卫,随时入住,1~12个月,随时可看,4,5层,无,租用车位,民水,民电,有,集中供暖
TJ2563725902089830400,天津,河东,唐家口,金色家园,17㎡,合租,南,1100元/月,季付价,5室,1厅,1卫,随时入住,1~12个月,随时可看,5,6层,无,租用车位,民水,民电,有,集中供暖
TJ2563678760151302144,天津,西青,华苑,程华里,14㎡,合租,南,890元/月,月付价,5室,1厅,1卫,随时入住,1~12个月,随时可看,2,6层,无,租用车位,民水,民电,有,集中供暖
TJ2534009740074426368,天津,河西,柳林街,锦福里,45㎡,整租,南,1500元/月,季付价,1室,1厅,1卫,随时入住,暂无数据,需提前预约,中楼层,6层,无,免费使用,民水,民电,有,集中供暖
TJ2270833226455465984,天津,红桥,邵公庄,千禧园西区,10㎡,合租,南,1160元/月,季付价,4室,1厅,2卫,随时入住,1年,随时可看,6,7层,有,暂无数据,民水,民电,有,集中供暖
TJ2535542036422205440,天津,河东,上杭路,程林里,21㎡,整租,南,1200元/月,季付价,1室,1厅,1卫,随时入住,1年以内,需提前预约,高楼层,6层,无,免费使用,民水,民电,有,集中供暖
TJ2560814975664783360,天津,河东,春华街,城市之星大厦,11㎡,合租,南,950元/月,季付价,5室,1厅,1卫,随时入住,1~12个月,随时可看,17,17层,有,租用车位,民水,民电,无,集中供暖
TJ2535329407464652800,天津,河西,天塔街,环湖东里,37㎡,整租,南,1500元/月,None,1室,1厅,1卫,2020-07-20,暂无数据,需提前预约,高楼层,6层,无,暂无数据,民水,民电,有,集中供暖
TJ2561396473711296512,天津,西青,中北镇,碧水家园C区,18㎡,合租,南,1050元/月,月付价,3室,1厅,1卫,随时入住,3~12个月,随时可看,7,10层,暂无数据,免费使用,暂无数据,暂无数据,暂无数据,自采暖
TJ2537637001327280128,天津,开发区,第五大街,万通新城国际,74㎡,整租,东,2200元/月,None,1室,1厅,1卫,随时入住,暂无数据,需提前预约,高楼层,33层,有,暂无数据,民水,民电,有,集中供暖
TJ2497657014474784768,天津,河北,王串场,萃华里,47㎡,整租,南,1500元/月,季付价,1室,1厅,1卫,随时入住,1年以内,需提前预约,高楼层,6层,无,暂无数据,民水,民电,有,集中供暖
TJ2499802041887760384,天津,河东,二号桥街,建新东里,43㎡,整租,北,1200元/月,季付价,1室,1厅,1卫,随时入住,3年以内,需提前预约,高楼层,9层,有,暂无数据,民水,民电,有,集中供暖
TJ2503473163036262400,天津,河北,望海楼,昆云里,38㎡,整租,北,1500元/月,季付价,1室,1厅,1卫,随时入住,1年以内,需提前预约,中楼层,6层,无,暂无数据,民水,民电,有,集中供暖
TJ2502180709909929984,天津,塘沽,胡家园,红光家园,75㎡,整租,南,1500元/月,半年付价,2室,2厅,2卫,随时入住,1年以内,需提前预约,高楼层,6层,有,暂无数据,民水,民电,有,集中供暖
TJ2561642561974304768,天津,西青,中北镇,碧水家园C区,17㎡,合租,南,1050元/月,月付价,3室,1厅,1卫,随时入住,3~12个月,随时可看,5,10层,无,免费使用,暂无数据,暂无数据,有,自采暖
TJ2503592009588015104,天津,和平,体育馆街,诚基经贸中心,60㎡,整租,南,2100元/月,None,1室,1厅,1卫,随时入住,暂无数据,需提前预约,中楼层,50层,有,暂无数据,民水,民电,有,集中供暖
TJ2560778902301843456,天津,河东,春华街,瑞金里,48㎡,整租,南,1150元/月,年付价,1室,1厅,1卫,随时入住,1年,随时可看,1,7层,无,暂无数据,民水,民电,有,集中供暖
TJ2505606843456831488,天津,河北,光复道,林古里,38㎡,整租,东,1450元/月,季付价,1室,1厅,1卫,随时入住,1年以内,需提前预约,高楼层,6层,无,暂无数据,民水,民电,有,集中供暖
TJ2507067893821480960,天津,河西,柳林街,秀峰里,36㎡,整租,东南,1400元/月,季付价,1室,1厅,1卫,随时入住,1年以内,需提前预约,高楼层,6层,无,免费使用,民水,民电,有,集中供暖
TJ2497610901281046528,天津,河西,挂甲寺,新城小区,44㎡,整租,南,1600元/月,None,1室,1厅,1卫,随时入住,暂无数据,需提前预约,中楼层,8层,无,暂无数据,民水,民电,有,集中供暖
TJ2497870159843164160,天津,河西,陈塘庄,毛织二宿舍,30㎡,合租,东/西,1100元/月,季付价,2室,1厅,1卫,随时入住,1年以内,需提前预约,中楼层,8层,无,暂无数据,暂无数据,暂无数据,有,集中供暖
TJ2497701756683952128,天津,河西,陈塘庄,八七楼,40㎡,整租,南/北,1500元/月,None,1室,1厅,1卫,随时入住,暂无数据,需提前预约,高楼层,6层,无,暂无数据,民水,民电,有,集中供暖
TJ2501446136922120192,天津,塘沽,向阳街,和平里(塘沽区),57㎡,整租,南,1200元/月,None,2室,1厅,1卫,随时入住,暂无数据,需提前预约,高楼层,6层,无,暂无数据,民水,民电,有,集中供暖
TJ2505083404308463616,天津,河西,挂甲寺,景福里,44㎡,整租,北,1350元/月,季付价,1室,1厅,1卫,随时入住,2年以内,需提前预约,高楼层,9层,无,暂无数据,民水,民电,有,集中供暖
TJ2550734635596251136,天津,西青,张家窝,保利金融街诺丁山,15㎡,合租,南,848元/月,月付价,4室,1厅,2卫,随时入住,1~12个月,随时可看,8,8层,有,租用车位,民水,民电,有,集中供暖
TJ2507186307361677312,天津,河西,越秀路,爱国北里,36㎡,整租,南,1500元/月,季付价,1室,1厅,1卫,随时入住,1年以内,需提前预约,中楼层,7层,无,暂无数据,民水,民电,有,集中供暖
TJ2523109511502774272,天津,南开,学府街,天津大学四季村,18㎡,合租,南,860元/月,年付价,2室,0厅,1卫,随时入住,1~12个月,随时可看,3,4层,无,租用车位,民水,民电,有,集中供暖
TJ2528041017144786944,天津,河东,富民路,天琴里,28㎡,整租,北,1000元/月,季付价,1室,1厅,1卫,随时入住,2年以内,需提前预约,低楼层,6层,无,暂无数据,民水,民电,有,集中供暖
TJ2527470387932446720,天津,南开,学府街,天大三村,21㎡,合租,南,1099元/月,月付价,3室,1厅,1卫,随时入住,1年,随时可看,3,6层,无,免费使用,民水,民电,无,集中供暖
TJ2528867247015854080,天津,红桥,邵公庄,建设里,40㎡,整租,南,1100元/月,季付价,1室,1厅,1卫,随时入住,1年以内,需提前预约,中楼层,7层,无,暂无数据,民水,民电,有,集中供暖
TJ2542015061585559552,天津,西青,精武镇,荣水里,19㎡,合租,南,650元/月,月付价,4室,0厅,1卫,随时入住,2~12个月,随时可看,3,5层,无,租用车位,民水,民电,有,集中供暖
TJ2529789301911461888,天津,河西,友谊路,新世纪城,15㎡,合租,南,1098元/月,月付价,2室,0厅,1卫,随时入住,1~12个月,随时可看,6,6层,无,租用车位,民水,民电,有,集中供暖
TJ2545092193211916288,天津,河北,光复道,林容里,15㎡,合租,南,850元/月,月付价,4室,1厅,1卫,随时入住,1~12个月,随时可看,3,7层,无,免费使用,民水,民电,有,集中供暖
TJ2538283794017304576,天津,河北,王串场,容彩里,36㎡,整租,东,1300元/月,季付价,1室,1厅,1卫,随时入住,2年以内,需提前预约,中楼层,7层,无,免费使用,民水,民电,有,集中供暖
TJ2560834506122862592,天津,河东,向阳楼,红顶花园北园,13㎡,合租,南,1000元/月,季付价,3室,1厅,1卫,随时入住,1~10个月,随时可看,3,5层,无,租用车位,民水,民电,有,集中供暖
TJ2539882258673188864,天津,河北,鸿顺里街,三戒里,32㎡,整租,南,1500元/月,季付价,1室,1厅,1卫,随时入住,1年以内,需提前预约,高楼层,7层,无,暂无数据,民水,民电,有,集中供暖
TJ2554877844283203584,天津,河西,梅江,芳水园,18㎡,合租,南,1098元/月,月付价,5室,1厅,1卫,随时入住,1年,随时可看,3,6层,无,免费使用,民水,民电,有,集中供暖
TJ2541084352843096064,天津,河西,下瓦房,西楼后街,25㎡,整租,南,1600元/月,季付价,1室,1厅,1卫,随时入住,1年以内,需提前预约,高楼层,5层,无,暂无数据,民水,民电,有,集中供暖
TJ2529752941884620800,天津,河东,春华街,万春花园,15㎡,合租,南,1098元/月,月付价,4室,0厅,1卫,随时入住,1~12个月,随时可看,2,11层,有,租用车位,民水,民电,有,集中供暖
TJ2541194700333776896,天津,津南,新梅江,惠众家园,51㎡,整租,南,1000元/月,季付价,1室,1厅,1卫,随时入住,1年以内,一般下班后可看,低楼层,28层,有,暂无数据,暂无数据,暂无数据,有,集中供暖
TJ2541880691638419456,天津,和平,新兴街,同安新里,35㎡,整租,南,1500元/月,季付价,1室,1厅,1卫,随时入住,2年以内,需提前预约,高楼层,6层,无,免费使用,民水,民电,有,集中供暖
TJ2543263415573413888,天津,南开,王顶堤,园荫里,15㎡,合租,南,900元/月,季付价,2室,1厅,1卫,2020-08-01,1年以内,需提前预约,高楼层,7层,无,暂无数据,民水,民电,有,集中供暖
TJ2543474502092988416,天津,塘沽,新村街,崇安里,58㎡,整租,东南,1400元/月,季付价,1室,1厅,1卫,随时入住,1年以内,需提前预约,高楼层,6层,无,免费使用,民水,民电,有,集中供暖
TJ2543604722590285824,天津,开发区,第三大街,朗月轩,74㎡,整租,南/北,2100元/月,月付价,2室,1厅,1卫,随时入住,1~3个月,需提前预约,中楼层,18层,有,暂无数据,民水,民电,有,集中供暖
TJ2519726553626320896,天津,南开,万兴街,云栖里,15㎡,合租,东南,1150元/月,月付价,2室,0厅,1卫,随时入住,1个月以上,随时可看,6,6层,无,租用车位,民水,民电,有,集中供暖
TJ2543460217123766272,天津,河西,陈塘庄,景致里,41㎡,整租,南/北,1600元/月,季付价,1室,1厅,1卫,随时入住,1年以内,需提前预约,高楼层,5层,无,免费使用,民水,民电,有,集中供暖
TJ2551427872426835968,天津,西青,中北镇,曹庄欣苑,18㎡,合租,南,1050元/月,季付价,2室,1厅,1卫,随时入住,4~36个月,随时可看,7,10层,无,免费使用,民水,民电,有,集中供暖
TJ2544816515241484288,天津,东丽,张贵庄,詹滨里,42㎡,整租,东,1100元/月,季付价,1室,1厅,1卫,随时入住,1年以内,需提前预约,高楼层,6层,无,暂无数据,民水,民电,有,集中供暖
TJ2544850480916332544,天津,河西,柳林街,贺福里,35㎡,整租,南,1300元/月,季付价,1室,1厅,1卫,随时入住,1年以内,需提前预约,高楼层,6层,无,暂无数据,民水,民电,有,集中供暖
TJ2546132674364309504,天津,河西,下瓦房,西楼北里,42㎡,整租,东/南,1500元/月,None,1室,1厅,1卫,随时入住,暂无数据,需提前预约,高楼层,8层,无,暂无数据,民水,民电,有,集中供暖
TJ2546227717309997056,天津,南开,长虹街,华安北里,24㎡,整租,南,1000元/月,季付价,1室,1厅,1卫,随时入住,1年以内,需提前预约,高楼层,7层,无,暂无数据,民水,民电,有,集中供暖
TJ2531162448631963648,天津,河东,中山门街,中山门东里,40㎡,整租,南,1200元/月,None,1室,1厅,1卫,随时入住,1年以内,需提前预约,高楼层,7层,无,暂无数据,民水,民电,有,集中供暖
TJ2531851272055955456,天津,河西,小海地,珠江里(河西区),53㎡,整租,东,1600元/月,季付价,2室,1厅,1卫,随时入住,2年以内,需提前预约,高楼层,6层,无,免费使用,民水,民电,有,集中供暖
TJ2531216033138876416,天津,河西,柳林街,锦福里,48㎡,整租,南,1500元/月,季付价,1室,1厅,1卫,随时入住,2年以内,需提前预约,高楼层,6层,无,免费使用,民水,民电,有,集中供暖
TJ2529467561658294272,天津,南开,鼓楼街,尚佳新苑,12㎡,合租,南,699元/月,月付价,4室,1厅,1卫,随时入住,1~12个月,随时可看,19,27层,有,免费使用,民水,民电,有,集中供暖
TJ2533120128825442304,天津,河东,二号桥街,龙峰嘉园,60㎡,整租,南/北,1000元/月,季付价,1室,1厅,1卫,随时入住,3年以内,需提前预约,高楼层,32层,无,暂无数据,暂无数据,暂无数据,有,集中供暖
TJ2561378795827503104,天津,西青,中北镇,溪悦园,18㎡,合租,南,950元/月,月付价,3室,1厅,1卫,随时入住,3~12个月,随时可看,4,24层,有,免费使用,民水,民电,有,自采暖
TJ2533842117248425984,天津,河西,新梅江,新梅江锦秀里,91㎡,整租,南,1500元/月,季付价,2室,1厅,1卫,随时入住,1年以内,需提前预约,低楼层,22层,有,暂无数据,民水,民电,有,集中供暖
TJ2560810062012481536,天津,河东,春华街,城市之星大厦,12㎡,合租,南,950元/月,季付价,4室,1厅,1卫,随时入住,2~10个月,随时可看,20,20层,有,免费使用,民水,民电,有,集中供暖
TJ2533991852517105664,天津,和平,新兴街,兴河里,31㎡,整租,西,1500元/月,季付价,1室,1厅,1卫,随时入住,1年以内,需提前预约,中楼层,5层,无,免费使用,民水,民电,有,集中供暖
TJ2563697147728109568,天津,南开,鼓楼街,尚佳新苑公寓,15㎡,合租,南,1199元/月,季付价,4室,1厅,1卫,随时入住,3~12个月,随时可看,17,20层,有,免费使用,民水,商电,有,集中供暖
TJ2562202147936534528,天津,西青,张家窝,津洲花园,13㎡,合租,东,988元/月,月付价,3室,1厅,1卫,随时入住,3~12个月,随时可看,25,30层,有,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据
TJ2562202147886743552,天津,西青,张家窝,津洲花园,11㎡,合租,南,898元/月,月付价,3室,1厅,1卫,随时入住,3~12个月,随时可看,25,30层,有,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据
TJ2531113458020122624,天津,东丽,新立街,悦盛园,40㎡,整租,南,1000元/月,季付价,1室,1厅,1卫,随时入住,1年以内,需提前预约,中楼层,6层,无,暂无数据,民水,民电,有,集中供暖
TJ2562395004224151552,天津,西青,张家窝,津洲花园,14㎡,合租,南,998元/月,月付价,4室,1厅,1卫,随时入住,3~12个月,随时可看,20,31层,有,免费使用,民水,民电,无,集中供暖
TJ2530537384827953152,天津,河西,下瓦房,西楼北里,34㎡,整租,西,1550元/月,季付价,1室,1厅,1卫,随时入住,1年以内,需提前预约,高楼层,8层,无,暂无数据,民水,民电,有,集中供暖
TJ2562386465082580992,天津,西青,精武镇,荣水里,16㎡,合租,南,998元/月,月付价,5室,1厅,2卫,随时入住,3~12个月,随时可看,5,5层,无,免费使用,民水,民电,无,集中供暖
TJ2531162448631963648,天津,河东,中山门街,中山门东里,40㎡,整租,南,1200元/月,None,1室,1厅,1卫,随时入住,1年以内,需提前预约,高楼层,7层,无,暂无数据,民水,民电,有,集中供暖
TJ2562434269343924224,天津,西青,精武镇,荣水里,18㎡,合租,南,898元/月,月付价,3室,1厅,1卫,随时入住,1~12个月,随时可看,5,5层,无,免费使用,民水,民电,有,集中供暖
TJ2533842117248425984,天津,河西,新梅江,新梅江锦秀里,91㎡,整租,南,1500元/月,季付价,2室,1厅,1卫,随时入住,1年以内,需提前预约,低楼层,22层,有,暂无数据,民水,民电,有,集中供暖
